t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    16599 ;      202 ;     E   ;         100 ;       ? ; entrada
    16629 ;      201 ;     E   ;         100 ;    4899 ; saida
    16704 ;      233 ;     E   ;         250 ;       ? ; entrada
    16747 ;      198 ;     E   ;         300 ;    5121 ; saida
    16640 ;      229 ;     E   ;         400 ;       ? ; entrada
    16722 ;      202 ;     E   ;         100 ;    4925 ; saida
    16784 ;      246 ;     E   ;         500 ;    2438 ; saida
    17059 ;      208 ;     E   ;         250 ;       ? ; entrada
    17081 ;      208 ;     E   ;         250 ;    4791 ; saida
    17333 ;      128 ;     E   ;         250 ;       ? ; entrada
    17348 ;      219 ;     E   ;         100 ;       ? ; entrada
    17359 ;      226 ;     E   ;         100 ;       ? ; entrada
    17369 ;      145 ;     E   ;         150 ;       ? ; entrada
    17383 ;      241 ;     E   ;         500 ;       ? ; entrada
    17393 ;       89 ;     E   ;         350 ;       ? ; entrada
    16733 ;      233 ;     E   ;         250 ;    2920 ; saida
    17405 ;      127 ;     E   ;         400 ;       ? ; entrada
    17449 ;       92 ;     E   ;         150 ;       ? ; entrada
    17516 ;       98 ;     E   ;         150 ;       ? ; entrada
    17820 ;       87 ;     E   ;         300 ;       ? ; entrada
    19651 ;      114 ;     E   ;         100 ;       ? ; entrada
    19671 ;       99 ;     E   ;         150 ;       ? ; entrada
    20282 ;      128 ;     E   ;         250 ;   11408 ; saida
    20295 ;       80 ;     E   ;         350 ;       ? ; entrada
    20315 ;      100 ;     E   ;         400 ;       ? ; entrada
    21093 ;      145 ;     E   ;         150 ;   12150 ; saida
    22085 ;      200 ;     O   ;         450 ;       ? ; entrada
    22094 ;      157 ;     E   ;         400 ;       ? ; entrada
    22389 ;       98 ;     E   ;         150 ;   16974 ; saida
    22411 ;      248 ;     E   ;         200 ;       ? ; entrada
    22685 ;       54 ;     N   ;         100 ;       ? ; entrada
    23899 ;      114 ;     E   ;         100 ;   16517 ; saida
    24422 ;      219 ;     E   ;         100 ;   10966 ; saida
    24457 ;      105 ;     N   ;         100 ;       ? ; entrada
    24478 ;      116 ;     N   ;         400 ;       ? ; entrada
    23963 ;       99 ;     E   ;         150 ;   18562 ; saida
    25528 ;       97 ;     N   ;         300 ;       ? ; entrada
    25690 ;      125 ;     N   ;         400 ;       ? ; entrada
    25709 ;      126 ;     N   ;         400 ;       ? ; entrada
    25888 ;       35 ;     N   ;         150 ;       ? ; entrada
    25897 ;       53 ;     N   ;         300 ;       ? ; entrada
    25906 ;       78 ;     N   ;         150 ;       ? ; entrada
    25914 ;       82 ;     N   ;         400 ;       ? ; entrada
    25923 ;       52 ;     N   ;         100 ;       ? ; entrada
    25932 ;       84 ;     N   ;         450 ;       ? ; entrada
    25940 ;       96 ;     N   ;         450 ;       ? ; entrada
    25947 ;      102 ;     N   ;          50 ;       ? ; entrada
    25955 ;       85 ;     N   ;         500 ;       ? ; entrada
    25966 ;      167 ;     N   ;         200 ;       ? ; entrada
    26002 ;       97 ;     N   ;         300 ;   20631 ; saida
    27970 ;      117 ;     N   ;         450 ;       ? ; entrada
    28003 ;      117 ;     N   ;         450 ;   21226 ; saida
    28039 ;      121 ;     N   ;          50 ;       ? ; entrada
    28075 ;      106 ;     S   ;          50 ;       ? ; entrada
    28101 ;      106 ;     S   ;          50 ;   21872 ; saida
    28147 ;      116 ;     N   ;         400 ;   21404 ; saida
    28185 ;      105 ;     N   ;         100 ;   21987 ; saida
    30425 ;      110 ;     E   ;         150 ;       ? ; entrada
    30288 ;      100 ;     E   ;         400 ;   24840 ; saida
    30307 ;      226 ;     E   ;         100 ;   16764 ; saida
    30327 ;      229 ;     E   ;         400 ;   17012 ; saida
    30336 ;      262 ;     E   ;         150 ;       ? ; entrada
    30453 ;      262 ;     E   ;         150 ;   15023 ; saida
    30352 ;      142 ;     O   ;         400 ;       ? ; entrada
    30499 ;      142 ;     O   ;         400 ;   21345 ; saida
    30367 ;      241 ;     E   ;         500 ;   16391 ; saida
    30370 ;      242 ;     O   ;         300 ;       ? ; entrada
    30579 ;      242 ;     O   ;         300 ;   15980 ; saida
    30380 ;      107 ;     S   ;         250 ;       ? ; entrada
    30620 ;      107 ;     S   ;         250 ;   24352 ; saida
    30389 ;      109 ;     S   ;         150 ;       ? ; entrada
    30665 ;      109 ;     S   ;         150 ;   24330 ; saida
    30398 ;      225 ;     O   ;          50 ;       ? ; entrada
    30706 ;      225 ;     O   ;          50 ;   17297 ; saida
    32485 ;      113 ;     E   ;         150 ;       ? ; entrada
    32522 ;      113 ;     E   ;         150 ;   26117 ; saida
    32558 ;      131 ;     O   ;         350 ;       ? ; entrada
